customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract,payment_method,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn
CUST00029,Male,1,No,No,37,Yes,DSL,Month-to-month,Credit card,No internet service,No,Yes,No,65.66,2371.57,0
CUST00030,Female,0,No,Yes,18,Yes,Fiber optic,Month-to-month,Bank transfer,No internet service,Yes,Yes,Yes,86.18,1521.84,0
CUST00031,Female,0,Yes,No,59,Yes,Fiber optic,Two year,Bank transfer,No,No internet service,Yes,Yes,81.05,4603.85,0
CUST00032,Female,0,No,Yes,22,Yes,No,Two year,Mailed check,No,No internet service,Yes,Yes,34.34,718.86,0
CUST00033,Female,0,No,No,72,No,Fiber optic,One year,Credit card,No,No,Yes,Yes,73.82,5122.06,0
CUST00034,Male,0,Yes,Yes,19,Yes,Fiber optic,Month-to-month,Bank transfer,No internet service,No internet service,Yes,Yes,91.7,1851.57,0
CUST00035,Male,1,No,No,30,Yes,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,No,80.18,2098.94,1
CUST00036,Female,1,No,No,25,Yes,Fiber optic,One year,Bank transfer,No,Yes,No,Yes,84.28,1969.27,0
CUST00037,Male,0,No,No,29,Yes,Fiber optic,Month-to-month,Mailed check,No,No,No internet service,No,75.4,2304.6,0
CUST00038,Male,0,Yes,No,55,No,DSL,Month-to-month,Credit card,No,Yes,No,Yes,70.23,4007.05,0
CUST00039,Female,0,Yes,No,24,Yes,No,Two year,Credit card,Yes,Yes,Yes,Yes,32.97,849.87,0
CUST00040,Male,0,No,No,11,Yes,Fiber optic,Month-to-month,Bank transfer,No internet service,No internet service,No,No,71.95,772.34,1
CUST00041,Female,0,Yes,No,18,Yes,Fiber optic,Two year,Electronic check,No,No,No,No,90.25,1442.1,0
CUST00042,Male,0,Yes,No,24,No,Fiber optic,Month-to-month,Bank transfer,No,Yes,Yes,No,100.7,2181.04,0
CUST00043,Male,0,Yes,No,32,Yes,Fiber optic,Month-to-month,Electronic check,No,No,No,No,73.26,2248.41,0
CUST00044,Female,0,Yes,No,15,Yes,DSL,Month-to-month,Bank transfer,No,No,No,Yes,56.07,869.01,0
CUST00045,Female,0,No,Yes,17,Yes,DSL,Two year,Electronic check,No,No,No,No,41.26,674.89,0
CUST00046,Male,0,No,No,33,Yes,DSL,One year,Credit card,No internet service,No,No,Yes,55.02,1737.19,0
CUST00047,Female,0,No,No,33,Yes,DSL,One year,Credit card,No internet service,No,No,No,58.37,1941.21,0
CUST00048,Male,0,No,No,50,Yes,DSL,Month-to-month,Electronic check,No,No,Yes,No,64.46,3164.79,0
CUST00049,Male,0,Yes,Yes,18,Yes,Fiber optic,Two year,Bank transfer,No internet service,No,Yes,Yes,78.02,1332.96,0
CUST00050,Male,0,Yes,No,40,Yes,DSL,One year,Credit card,No,No internet service,No internet service,Yes,63.98,2328.6,0
CUST00051,Male,0,Yes,Yes,25,Yes,No,One year,Electronic check,No,No,No,No,18.0,470.83,0
CUST00052,Female,0,Yes,No,20,Yes,No,One year,Electronic check,No,No internet service,No,Yes,27.18,572.6,0
CUST00053,Female,0,Yes,No,26,Yes,DSL,Two year,Mailed check,No,No internet service,No internet service,Yes,58.12,1369.02,0
CUST00054,Female,0,Yes,Yes,29,Yes,Fiber optic,One year,Credit card,No,No,No,No,64.94,1792.52,0
CUST00055,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Mailed check,No,Yes,Yes,Yes,101.39,1040.96,1
CUST00056,Female,1,Yes,Yes,11,Yes,No,Two year,Electronic check,No,No,No,Yes,30.98,306.83,0
CUST00057,Male,0,No,No,43,Yes,Fiber optic,Month-to-month,Electronic check,No,No internet service,Yes,No,73.71,3187.16,0
CUST00058,Female,0,No,No,21,Yes,Fiber optic,Two year,Mailed check,No,Yes,No,No,84.14,1691.22,0
CUST00059,Male,0,No,No,32,Yes,DSL,Month-to-month,Electronic check,No,Yes,No,Yes,55.88,1600.09,0
CUST00060,Male,1,No,No,42,Yes,No,Month-to-month,Bank transfer,No internet service,No,Yes,No,27.69,1284.41,0
CUST00061,Male,0,No,Yes,26,Yes,DSL,Month-to-month,Electronic check,Yes,No internet service,Yes,Yes,77.62,1929.52,0
CUST00062,Male,1,Yes,No,40,Yes,No,One year,Bank transfer,No,Yes,No,Yes,35.81,1456.32,0
CUST00063,Female,0,No,No,29,Yes,DSL,Month-to-month,Bank transfer,No,No,No,Yes,61.17,1599.23,0
CUST00064,Male,0,Yes,Yes,30,Yes,Fiber optic,Two year,Credit card,Yes,Yes,Yes,Yes,95.9,3132.09,0
CUST00065,Female,0,Yes,No,58,Yes,Fiber optic,One year,Electronic check,No,No internet service,Yes,No,84.89,5496.32,0
CUST00066,Female,0,Yes,No,24,Yes,DSL,Month-to-month,Bank transfer,No,No,No,Yes,56.87,1194.06,0
CUST00067,Male,0,Yes,No,43,No,DSL,Month-to-month,Bank transfer,Yes,No,No internet service,Yes,66.49,2768.95,0
CUST00068,Female,0,Yes,No,8,Yes,DSL,Two year,Mailed check,No,No internet service,No internet service,No,45.49,390.47,0
CUST00069,Female,0,No,No,31,No,Fiber optic,Two year,Electronic check,Yes,No,No,No,66.66,1957.37,0
CUST00070,Female,1,No,No,67,Yes,Fiber optic,Month-to-month,Electronic check,Yes,No internet service,No,No,71.22,4813.02,1
CUST00071,Male,0,No,Yes,72,No,DSL,Two year,Bank transfer,No,Yes,No,No,71.38,4432.06,0
CUST00072,Female,0,No,No,9,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,Yes,Yes,No,85.4,710.82,0
CUST00073,Female,0,No,No,21,No,DSL,One year,Credit card,No,No,Yes,No,52.73,1108.83,0
CUST00074,Female,0,Yes,Yes,13,Yes,Fiber optic,Two year,Credit card,No,Yes,Yes,No,72.6,885.98,0
CUST00075,Male,0,No,No,25,Yes,No,Month-to-month,Bank transfer,No,No internet service,No internet service,No,24.46,583.84,0
CUST00076,Female,1,No,Yes,48,Yes,No,Month-to-month,Credit card,No,No,No,No,21.18,888.45,0
CUST00077,Female,0,Yes,No,59,Yes,No,One year,Bank transfer,No,Yes,Yes,Yes,33.72,2040.78,0
CUST00078,Female,0,Yes,No,61,Yes,DSL,Month-to-month,Electronic check,No,No,No,Yes,50.38,2723.54,1
CUST00079,Male,0,No,No,8,No,DSL,Month-to-month,Electronic check,Yes,No,Yes,Yes,68.07,592.4,1
CUST00080,Male,0,No,Yes,28,Yes,No,Month-to-month,Credit card,No,No,No,Yes,35.42,924.53,1
CUST00081,Male,0,Yes,No,17,Yes,DSL,One year,Mailed check,No,Yes,No,Yes,68.07,1198.91,0
CUST00082,Female,0,No,No,24,Yes,DSL,Month-to-month,Credit card,No internet service,No internet service,No internet service,Yes,69.52,1717.12,0
CUST00083,Female,0,Yes,No,19,Yes,DSL,Month-to-month,Electronic check,No,No,No,No,56.01,969.52,0
CUST00084,Male,1,Yes,No,8,No,Fiber optic,Two year,Electronic check,No,No internet service,No internet service,No,75.55,567.95,0
CUST00085,Male,1,Yes,No,60,Yes,Fiber optic,One year,Bank transfer,No,No,Yes,Yes,90.82,5165.73,0
CUST00086,Male,1,Yes,No,15,Yes,No,Month-to-month,Credit card,No,No,No,No,23.74,339.27,0
CUST00087,Female,0,No,No,18,Yes,Fiber optic,Month-to-month,Credit card,No,Yes,No internet service,No,80.21,1283.76,0
CUST00088,Female,0,Yes,No,68,Yes,DSL,Month-to-month,Electronic check,No,No,Yes,No,64.0,4427.6,0
CUST00089,Male,1,No,Yes,7,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,Yes,No internet service,Yes,84.74,552.72,1
CUST00090,Male,0,Yes,No,37,Yes,No,Month-to-month,Bank transfer,No,No internet service,No internet service,No,32.22,1158.77,0
CUST00091,Female,0,No,No,53,Yes,DSL,Month-to-month,Credit card,No,Yes,No,Yes,69.81,3886.57,0
CUST00092,Male,0,No,No,64,Yes,No,Month-to-month,Electronic check,No,No,Yes,No,31.16,2034.18,0
CUST00093,Male,0,No,No,35,Yes,Fiber optic,One year,Bank transfer,No internet service,No,Yes,Yes,68.0,2228.89,0
CUST00094,Female,0,No,No,44,Yes,No,Month-to-month,Electronic check,Yes,No,No,Yes,24.61,1140.08,1
CUST00095,Male,1,No,Yes,53,Yes,No,Month-to-month,Bank transfer,No internet service,No,No internet service,Yes,23.46,1276.44,0
CUST00096,Female,0,No,No,25,No,Fiber optic,Two year,Electronic check,Yes,No internet service,Yes,No,81.89,1905.15,0
CUST00097,Female,0,No,No,14,No,Fiber optic,Month-to-month,Credit card,Yes,No,No,No,72.93,963.86,0
CUST00098,Male,0,No,No,71,No,Fiber optic,One year,Electronic check,No internet service,No internet service,Yes,No,92.58,6902.07,0
CUST00099,Male,0,Yes,No,41,Yes,No,Month-to-month,Bank transfer,No,No,No,No,19.43,824.12,0
CUST00100,Female,0,Yes,No,28,Yes,No,One year,Bank transfer,No,No,No,Yes,18.0,440.91,0
CUST00101,Male,0,Yes,No,9,Yes,Fiber optic,Month-to-month,Electronic check,No,No internet service,No,No,62.86,514.6,0
CUST00102,Female,0,Yes,No,3,Yes,DSL,Month-to-month,Electronic check,No internet service,Yes,No,Yes,61.93,191.12,1
CUST00103,Male,0,Yes,No,36,No,No,Two year,Bank transfer,No internet service,Yes,No,No,41.66,1346.48,0
CUST00104,Female,0,Yes,No,3,Yes,No,Month-to-month,Bank transfer,No,Yes,No,No,22.62,70.33,0
CUST00105,Male,1,No,Yes,28,Yes,Fiber optic,Month-to-month,Bank transfer,No internet service,No,No,Yes,62.69,1958.07,1
CUST00106,Male,0,Yes,No,16,No,No,Month-to-month,Bank transfer,No,No,Yes,Yes,36.31,584.52,0
CUST00107,Male,0,No,No,19,Yes,Fiber optic,Month-to-month,Electronic check,No,Yes,Yes,No,94.79,1648.63,1
CUST00108,Male,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Credit card,No,Yes,No internet service,No,67.61,4092.68,0
CUST00109,Female,0,No,No,16,Yes,Fiber optic,Month-to-month,Electronic check,No,Yes,No,No,65.82,1108.33,1
CUST00110,Male,0,Yes,No,29,Yes,DSL,Month-to-month,Bank transfer,No,No,Yes,No,60.71,1737.57,0
CUST00111,Female,0,Yes,No,16,Yes,Fiber optic,One year,Credit card,No internet service,Yes,No,No,85.26,1383.08,0
CUST00112,Male,0,Yes,No,34,Yes,Fiber optic,Two year,Credit card,No,No internet service,No,Yes,73.15,2298.18,0
CUST00113,Male,0,No,No,31,Yes,DSL,Month-to-month,Electronic check,No internet service,No internet service,Yes,Yes,61.0,1757.39,0
CUST00114,Female,0,Yes,Yes,28,Yes,DSL,Two year,Electronic check,Yes,No,No,No,64.92,1896.69,0
CUST00115,Male,0,No,No,53,Yes,Fiber optic,Month-to-month,Bank transfer,No,No internet service,Yes,Yes,80.99,3992.67,0
CUST00116,Male,0,Yes,No,7,Yes,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No,24.14,135.01,0
CUST00117,Female,0,No,No,5,Yes,No,One year,Bank transfer,No,No,No,Yes,18.0,86.27,0
CUST00118,Female,0,Yes,Yes,10,Yes,DSL,One year,Mailed check,No,No,No internet service,No,52.84,529.45,0
CUST00119,Female,0,No,No,31,Yes,No,Month-to-month,Electronic check,No,No internet service,No,Yes,40.66,1328.65,1
CUST00120,Female,0,Yes,No,38,Yes,DSL,Two year,Mailed check,No,No,No internet service,No,56.31,2343.5,0
CUST00121,Female,0,Yes,No,1,Yes,DSL,Two year,Bank transfer,Yes,No,No,Yes,51.35,50.63,0
CUST00122,Male,1,Yes,Yes,38,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,Yes,Yes,No,84.94,3311.97,0
CUST00123,Male,0,Yes,No,21,Yes,Fiber optic,One year,Mailed check,No,No,No internet service,Yes,72.95,1514.25,0
CUST00124,Female,0,Yes,No,72,Yes,No,Two year,Electronic check,No,No internet service,No internet service,No,32.07,2320.09,0
CUST00125,Male,1,No,Yes,36,Yes,DSL,Two year,Mailed check,Yes,No,No internet service,Yes,63.97,2226.74,0
CUST00126,Male,0,Yes,Yes,67,No,DSL,One year,Bank transfer,No internet service,No,No internet service,Yes,53.59,3615.85,0
CUST00127,Female,0,Yes,Yes,59,No,Fiber optic,Month-to-month,Bank transfer,No,No,No,No,82.17,4503.36,0
CUST00128,Male,1,No,No,21,Yes,DSL,One year,Credit card,No internet service,No internet service,No,Yes,65.52,1539.11,1
CUST00129,Male,0,Yes,Yes,48,Yes,DSL,Month-to-month,Credit card,No internet service,No,No internet service,Yes,55.44,2162.46,0
CUST00130,Male,0,Yes,No,21,Yes,DSL,One year,Mailed check,No,No,Yes,Yes,65.97,1413.02,0
CUST00131,Male,0,No,No,72,Yes,DSL,One year,Credit card,No internet service,No,No internet service,Yes,63.81,4605.2,0
CUST00132,Male,0,No,No,23,No,Fiber optic,One year,Electronic check,Yes,No,No internet service,Yes,80.6,1864.9,0
CUST00133,Female,0,No,No,39,Yes,DSL,Month-to-month,Mailed check,No,No internet service,No,Yes,46.85,1639.32,0
CUST00134,Male,1,Yes,No,72,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,Yes,No,Yes,80.56,5002.95,1
CUST00135,Male,1,No,Yes,40,Yes,Fiber optic,One year,Bank transfer,No internet service,No internet service,No,Yes,71.75,2934.3,0
CUST00136,Female,0,Yes,No,20,Yes,Fiber optic,Month-to-month,Bank transfer,No,Yes,No internet service,Yes,75.43,1620.04,0
CUST00137,Male,0,No,Yes,9,Yes,Fiber optic,Month-to-month,Electronic check,No,No internet service,Yes,Yes,75.39,675.4,1
CUST00138,Female,0,No,Yes,7,Yes,Fiber optic,Month-to-month,Credit card,No,No,No,No,80.44,583.56,1
CUST00139,Female,1,No,No,38,Yes,No,Two year,Credit card,No internet service,No,No,No,29.28,1054.7,0
CUST00140,Female,0,Yes,Yes,26,Yes,DSL,Month-to-month,Credit card,No,No,No internet service,Yes,75.85,1978.43,0
CUST00141,Male,1,Yes,Yes,11,Yes,No,One year,Mailed check,No,No,No,No,20.44,239.63,0
CUST00142,Female,0,No,No,45,Yes,DSL,Month-to-month,Credit card,No,No internet service,No,Yes,60.1,2591.05,1
CUST00143,Female,0,No,No,45,Yes,Fiber optic,Two year,Bank transfer,No,Yes,Yes,No,90.48,4328.11,0
CUST00144,Female,0,No,Yes,26,Yes,Fiber optic,Month-to-month,Bank transfer,No,Yes,No,Yes,87.17,1961.77,1
CUST00145,Male,0,No,No,69,Yes,DSL,Month-to-month,Mailed check,No,Yes,No internet service,Yes,77.87,5035.01,0
CUST00146,Male,0,No,No,6,Yes,DSL,Month-to-month,Credit card,No,No,No,No,59.75,365.03,0
CUST00147,Female,0,Yes,No,20,Yes,DSL,Month-to-month,Bank transfer,No,No,No,Yes,50.24,1118.54,1
CUST00148,Female,1,Yes,Yes,40,Yes,DSL,Two year,Bank transfer,No,Yes,No,No,61.31,2405.8,0
CUST00149,Male,0,Yes,No,12,Yes,Fiber optic,One year,Credit card,No,No internet service,No,Yes,73.14,796.6,0
CUST00150,Female,0,Yes,No,48,Yes,DSL,One year,Electronic check,No,No,No,Yes,67.98,3627.21,0
CUST00151,Male,0,Yes,Yes,57,Yes,No,One year,Bank transfer,No,No,No,Yes,18.0,996.42,0
CUST00152,Female,0,No,Yes,2,Yes,No,Two year,Electronic check,No,No,No,No,18.0,36.96,0
CUST00153,Male,1,No,Yes,70,Yes,DSL,Two year,Mailed check,No,No,No,Yes,65.06,4356.5,0
CUST00154,Female,0,No,No,39,Yes,DSL,One year,Electronic check,No,Yes,No,Yes,56.65,2187.17,0
CUST00155,Female,0,Yes,Yes,19,No,Fiber optic,Month-to-month,Electronic check,Yes,No internet service,No internet service,No,63.0,1125.96,0
CUST00156,Male,0,No,No,8,Yes,No,Month-to-month,Mailed check,No internet service,No,Yes,Yes,42.09,383.2,1
CUST00157,Female,1,No,No,52,Yes,Fiber optic,One year,Electronic check,No internet service,No,Yes,Yes,78.23,4325.81,0
CUST00158,Male,0,No,Yes,10,Yes,DSL,Two year,Electronic check,No,Yes,No,Yes,64.62,713.26,0
CUST00159,Male,1,No,No,39,Yes,No,One year,Bank transfer,No,No internet service,No internet service,No,35.95,1296.63,0
CUST00160,Male,0,No,Yes,10,Yes,Fiber optic,Month-to-month,Electronic check,No,No internet service,No,Yes,63.5,541.18,0
CUST00161,Male,0,No,Yes,28,Yes,Fiber optic,One year,Electronic check,No,No,No,No,61.89,1662.72,1
CUST00162,Male,1,Yes,No,51,Yes,No,Month-to-month,Electronic check,Yes,Yes,No,No,46.03,2714.1,0
CUST00163,Female,1,No,No,19,Yes,No,Month-to-month,Electronic check,No internet service,No,Yes,Yes,34.87,634.35,1
CUST00164,Female,1,Yes,No,70,Yes,Fiber optic,Two year,Electronic check,Yes,No,No internet service,Yes,77.44,5711.49,0
CUST00165,Female,0,Yes,No,41,No,DSL,One year,Credit card,No internet service,No,No,Yes,56.51,2104.36,0
CUST00166,Male,0,Yes,Yes,12,No,Fiber optic,Month-to-month,Bank transfer,Yes,No,No,Yes,71.15,787.18,0
CUST00167,Female,0,No,No,8,Yes,DSL,Month-to-month,Mailed check,No,No,No internet service,Yes,53.37,416.04,1
CUST00168,Female,0,No,Yes,15,Yes,Fiber optic,One year,Mailed check,No,No internet service,No,Yes,74.54,1260.86,1
CUST00169,Female,1,No,No,27,Yes,DSL,Month-to-month,Electronic check,No,No,Yes,No,73.65,2101.93,0
CUST00170,Female,1,Yes,No,72,Yes,Fiber optic,Month-to-month,Bank transfer,No internet service,No,Yes,Yes,81.57,4911.49,0
CUST00171,Female,0,Yes,No,72,No,Fiber optic,One year,Credit card,No,No internet service,Yes,No,88.49,6541.21,0
CUST00172,Female,0,No,No,18,Yes,No,One year,Electronic check,Yes,No,No internet service,No,30.3,490.64,0
CUST00173,Male,0,Yes,No,18,Yes,No,Month-to-month,Electronic check,No internet service,Yes,No internet service,Yes,24.61,412.99,1
CUST00174,Male,0,No,No,46,Yes,DSL,Month-to-month,Bank transfer,No,No,No,No,57.84,2702.48,0
CUST00175,Male,0,Yes,Yes,45,Yes,DSL,One year,Electronic check,Yes,No,No internet service,No,55.41,2687.67,0
CUST00176,Female,0,No,Yes,63,Yes,Fiber optic,Month-to-month,Electronic check,Yes,No internet service,Yes,Yes,86.03,5823.39,0
CUST00177,Male,0,No,Yes,64,Yes,DSL,Month-to-month,Bank transfer,No,No internet service,Yes,Yes,70.69,4538.68,0
CUST00178,Female,0,No,No,14,Yes,DSL,Month-to-month,Bank transfer,No internet service,No,Yes,Yes,68.02,956.27,0
CUST00179,Male,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Electronic check,Yes,No internet service,No internet service,Yes,80.11,602.4,0
CUST00180,Male,0,No,Yes,41,Yes,Fiber optic,Two year,Credit card,No,Yes,Yes,No,73.07,2605.54,0
CUST00181,Male,1,No,No,32,Yes,DSL,Month-to-month,Electronic check,No,Yes,Yes,No,70.17,2487.76,1
CUST00182,Female,0,No,No,4,Yes,Fiber optic,Two year,Electronic check,No,Yes,Yes,Yes,83.85,311.41,0
CUST00183,Female,0,No,Yes,7,Yes,No,Month-to-month,Bank transfer,No,No,No,No,27.01,188.74,0
CUST00184,Male,0,Yes,No,40,Yes,Fiber optic,One year,Bank transfer,No,Yes,No,No,84.42,3191.96,0
CUST00185,Female,0,No,No,25,No,DSL,Month-to-month,Bank transfer,No,Yes,Yes,Yes,74.99,1685.55,0
CUST00186,Female,1,Yes,No,41,Yes,Fiber optic,One year,Bank transfer,No,No internet service,No internet service,Yes,61.48,2551.71,0
CUST00187,Female,0,Yes,No,11,Yes,No,Two year,Bank transfer,Yes,No,No internet service,Yes,28.25,309.68,0
CUST00188,Female,0,No,No,43,Yes,DSL,Month-to-month,Credit card,No,Yes,Yes,No,76.02,3179.37,0
CUST00189,Female,1,No,No,35,Yes,Fiber optic,Month-to-month,Bank transfer,No,No,No internet service,Yes,60.25,2044.04,1
CUST00190,Female,1,Yes,No,45,Yes,Fiber optic,Two year,Mailed check,No,Yes,No internet service,Yes,77.64,3797.12,0
CUST00191,Male,0,Yes,No,19,Yes,Fiber optic,Two year,Bank transfer,No,Yes,No internet service,No,82.99,1787.31,0
CUST00192,Male,0,Yes,No,16,Yes,DSL,Two year,Electronic check,No,No,Yes,Yes,80.23,1370.59,0
CUST00193,Male,0,Yes,No,8,Yes,No,Month-to-month,Bank transfer,Yes,No,No internet service,Yes,18.0,143.92,0
CUST00194,Female,0,No,No,22,Yes,DSL,Month-to-month,Electronic check,No,No internet service,No,No,65.32,1243.6,1
CUST00195,Male,0,Yes,Yes,56,Yes,DSL,Month-to-month,Mailed check,No,No,Yes,No,58.39,3347.99,0
CUST00196,Female,0,No,Yes,66,Yes,DSL,One year,Bank transfer,No,No,No,Yes,48.84,3310.46,0
CUST00197,Female,1,Yes,No,10,Yes,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,No,70.31,727.0,1
CUST00198,Female,0,Yes,No,27,Yes,DSL,Month-to-month,Electronic check,No,No internet service,No internet service,Yes,63.84,1551.54,0
CUST00199,Female,0,No,No,72,Yes,Fiber optic,One year,Mailed check,No,No internet service,No,Yes,73.04,5466.63,0
CUST00200,Male,0,Yes,No,72,Yes,No,Month-to-month,Credit card,No internet service,No,No,Yes,22.48,1763.12,0
CUST00201,Female,0,Yes,Yes,21,Yes,DSL,One year,Credit card,No,Yes,Yes,Yes,78.66,1505.2,0
CUST00202,Male,0,No,Yes,59,Yes,No,Month-to-month,Mailed check,Yes,Yes,No internet service,Yes,33.33,2021.39,1
CUST00203,Female,1,No,No,52,Yes,No,Two year,Electronic check,No,Yes,Yes,Yes,41.88,2010.45,0
CUST00204,Male,1,No,Yes,50,Yes,DSL,Month-to-month,Mailed check,No,No internet service,No internet service,Yes,56.57,2751.29,1
CUST00205,Female,0,Yes,No,6,Yes,Fiber optic,One year,Mailed check,No,No,No,No,63.78,349.61,1
CUST00206,Female,0,No,No,17,Yes,No,Month-to-month,Electronic check,No,Yes,Yes,Yes,54.53,885.71,1
CUST00207,Male,0,No,No,24,Yes,No,Month-to-month,Credit card,Yes,Yes,No,Yes,44.2,1014.12,0
CUST00208,Male,0,No,No,24,Yes,Fiber optic,Month-to-month,Mailed check,Yes,No internet service,No internet service,Yes,84.72,2051.29,0
CUST00209,Female,1,Yes,No,26,Yes,No,Two year,Mailed check,No,No,No internet service,No,20.69,560.71,0
CUST00210,Male,0,Yes,No,72,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,Yes,Yes,Yes,82.54,6329.95,0
CUST00211,Female,0,Yes,Yes,22,No,DSL,Month-to-month,Electronic check,No,No internet service,Yes,Yes,63.68,1309.0,0
CUST00212,Male,0,Yes,No,36,Yes,DSL,One year,Mailed check,No,No,Yes,No,75.59,2735.37,0
CUST00213,Male,0,No,No,35,Yes,Fiber optic,Month-to-month,Mailed check,No,No,No,Yes,72.0,2275.88,1
CUST00214,Female,0,Yes,Yes,27,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,No,Yes,No,75.65,1985.87,0
CUST00215,Male,0,Yes,No,11,Yes,DSL,Month-to-month,Bank transfer,No internet service,No,Yes,Yes,69.91,755.93,1
CUST00216,Female,0,Yes,No,29,Yes,DSL,Month-to-month,Mailed check,No,No,No,No,53.11,1409.92,0
CUST00217,Female,0,No,Yes,4,No,No,Month-to-month,Bank transfer,No,No internet service,No internet service,Yes,18.0,73.38,0
CUST00218,Female,0,Yes,No,39,Yes,Fiber optic,Month-to-month,Credit card,No internet service,No internet service,Yes,No,81.03,3062.51,1
CUST00219,Female,0,Yes,No,3,Yes,DSL,Month-to-month,Mailed check,No,No,No,Yes,54.87,163.1,1
CUST00220,Male,0,Yes,No,36,Yes,DSL,Month-to-month,Mailed check,No,No,Yes,Yes,66.89,2566.29,1
CUST00221,Female,1,No,No,17,No,DSL,One year,Credit card,No,No internet service,No,No,37.52,605.99,1
CUST00222,Female,0,Yes,No,12,No,DSL,One year,Mailed check,No,Yes,No,Yes,59.86,746.7,0
CUST00223,Male,0,No,No,46,Yes,Fiber optic,Month-to-month,Mailed check,No,Yes,No internet service,Yes,79.64,3960.18,0
